,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,-0.0747640308658514,2.3373776889286413,1.5845191401305994,0.26525157647172126,2.3737334053726538,2.441349823585816,2.490242936572793,-0.34528002791912726,2.0977241001655833,2.398810063130486,0.4770170543943117,1.5376330960181452,1.0711604015540537,-0.2768596919753708,-3.34012514162976,-2.5003198584298882,2.1431719567494816,-0.5309348796280503,-4.9194350749835625,2.4369021881551363,0.28030245321243896,4.093155963525313,-0.4016459671771217,-3.5346163236177883,6.203145907535936
6,0.585136549498263,1.9796231563067783,2.454401837036135,0.7249399877836977,3.1097616467923905,1.6436503800393176,3.1156640230403854,-0.3589349286933075,1.7658560275811128,-0.28001889580431233,-0.8389940131492527,11.39322952791868,0.7025764743071612,0.8174762428500664,-2.7433345213528826,-2.40433484819964,2.2560329011940397,1.8322955851965792,-4.103636942365809,4.136336975833816,-0.6567626385360393,4.918495939563549,3.4140556324911455,0.5744843295172766,13.359200479087626
7,0.4993063255653539,0.6669468292493207,2.3429119048897005,0.40849048528100357,1.1680271128599353,5.004867337371342,0.9441800783766281,-0.25199538626172807,-0.7163231841165416,-0.5763860422882345,-0.8250715992306548,17.430352530968428,1.6142324694896668,1.9441486730199309,-2.3795294021848443,-2.194888464557794,2.998458178371329,2.9508912590350893,-0.5587299646508866,3.9894317978103366,-1.7603338863680613,5.997093262575281,5.220684130534282,2.1631773731771986,16.244301235932294
8,1.5103057235852064,2.9326118837653534,5.680945470158694,2.9892000676150583,1.9612390155088768,5.446519881079025,1.9325942984625346,1.4593431901136151,-0.03342182925454851,1.4000848536274926,-0.09462986616315877,20.588942913312167,3.0388331355577134,3.181411699349343,-0.19170864719619946,-0.5299462756550699,5.301894858043798,3.4845722556712366,1.316064108350829,5.691192028884663,1.4011203213258665,5.410573783820973,4.794359068884479,3.2874412077576602,18.293102895401603
9,-1.3532873341565688,1.976628534225533,3.7642735141591785,0.3676424756137798,-3.6441908283674196,2.0147638211906687,-3.791982748806161,5.273132006312223,3.466041742196017,-2.4818597134573452,-2.558963429893566,19.97592636761607,4.592137582333866,1.1375199666933484,3.21073330715267,0.9459467686223513,7.860926227217427,1.3094526786958791,-1.255970196512372,3.2457675249417943,1.9252984721600905,4.669867949654762,-3.9653098798787116,3.3594475171862954,7.501756835015362
10,-0.9352536935173451,0.9503860541331076,2.913315456787877,1.729753821347545,-1.770500994438042,0.6521452825648009,-2.0491825704515736,3.49248744382765,3.9616157345751626,-4.349136409418183,-3.3923320209356005,19.637827474171555,4.232898860856153,0.8954380374383875,1.356100886726448,0.47921610020643135,8.432627401096434,1.5552221479899648,-0.8198327472654545,7.8653485253352144,1.3108439617846386,3.1886351458733295,-4.152393679503049,4.302064770125893,7.935150382280488
11,0.36358905141369624,1.4028402612145547,7.39914659165173,5.606969613265158,1.883119432857032,5.9456457238284885,1.8485564584836887,3.6924048125383586,5.147241200944449,-0.7328211120366779,-3.150751381985805,11.441453002502273,4.481451508797829,0.7211937403509807,2.0377421434738157,0.24506957874090288,5.87933835625813,2.09761646338621,0.24001565433225272,9.19757737795561,1.6000748538832463,1.441412719255544,-4.169866733077705,4.5577112083278,3.3405179019727553
12,-0.29915997184146575,1.1452907660858516,4.085444094566645,4.278544712091743,3.11650278514343,4.8291496834150545,3.337329193532347,6.414034659402413,8.527069398874772,-0.846503202059806,-3.9727321409637946,6.276338728600868,4.940189674005467,0.16566215126588693,5.038240344984014,0.8963689456351422,5.663263633214628,1.1218065884024064,0.15759608311052617,7.663223230242256,2.0410092381761564,0.23492599676761425,-4.579736724111276,3.0766167889630736,1.8457912033042634
13,-1.0016828402143054,-1.5811299134459171,0.04782491815313569,2.203707914538477,4.3524090630549255,4.343672393233146,4.247221310412993,3.900144779644452,3.2805409017371328,-4.567360339304393,-6.025394164300532,1.8987110636133686,3.408671039602366,-2.0085446425705205,2.37565559807991,-1.6175551205291592,1.5317442804645462,-1.2315109162071567,-3.143086627671071,2.959501557632399,-1.6338343665650887,-1.6915104074729497,-4.517350425445127,1.1386571554420601,-1.9683053568628663
14,2.0796370949246565,-1.731365364697843,1.323680226780636,4.354903166928484,6.427160505249328,6.279071365074654,6.456461186599988,0.5202521684721833,1.3742270090834923,-0.2911051580012318,-2.6879278253323324,1.8798225932183232,2.1403709916835463,0.3130667198234503,0.14766836303900155,-1.2940644116042672,-0.807252880133864,1.1659033140474333,-0.2765167600906203,5.450385594163352,0.48167940069908255,-1.4785695200969122,2.651204093397651,3.903428668584738,1.3840606247169385
15,1.038485008455245,-2.0094149281415095,-0.12272573348459999,2.3004580383812927,6.70437328842079,5.514749934371537,6.634791636122106,1.1382637286696238,-0.37870087332038954,-0.28843497697417597,-2.0353211436162573,-0.6868845781067832,1.3133197512899508,0.1550183693278646,1.0009931823156837,0.19335076351965458,-1.5282496220647952,1.3211646038970517,0.9169158126348831,1.939826981518712,2.464081745648429,0.5842697964817811,2.4064458336991357,1.811922830192663,0.32340080975211566
16,0.5393827448131786,-1.4497913863594105,-1.5935420739704376,-0.4283790684325014,4.212077387452669,2.9626810979456466,4.1038011390203675,1.8238983965222029,1.7970420055549787,-1.56789476720609,-1.238241125675858,-1.3173483305634264,1.2994066760669059,0.3057663660068403,0.48204412829721754,0.4503325638495498,-0.4275818849060776,-0.17905879913331602,-0.15734810865443827,-0.9717566807711839,1.499430709319999,0.7821646216686543,-0.14520973913794682,0.9977635416183057,3.2469474181446674
17,0.21700625231788384,-1.9244483080828039,-0.3769847361048401,-0.29260482988964637,2.7222842201669724,2.132093142202722,2.418534533146265,0.1780561023131797,1.6406193922230126,0.29320160297157555,-0.2385314198175118,-1.1767416615330035,0.5639637669652692,-0.40770706504438364,-1.2913819101340422,-0.0703058964791755,-1.0054842705365432,-0.2608916882402783,-0.07525525876002426,-1.6141887152952263,1.3991975988864194,0.8333325054910776,-1.4157180059561363,0.9003574622775876,4.22405543028916
18,1.2573535490539074,-0.6415849654838722,2.9328046182267418,0.82829989880971,1.3661988142837447,2.588183857225125,1.1599563759907123,-0.3194647105085274,2.44395617910882,1.865970993717728,1.7386141270368367,1.0834155193693917,2.251576062015822,1.2796113462583887,-1.0664503184162983,2.1595860026921656,-0.37286132532905564,1.637857889439427,1.26467376771312,0.31769676035363087,3.2365186151866947,2.017270426095315,-0.09059122060790016,2.0480255801212777,9.81028505674936
19,0.6692723517725546,-1.1043733189701523,1.0859374138597897,-1.2350454639320663,-0.5198659286840136,-0.03671520917197636,-0.6135475015885604,-1.0284672435192674,-2.365424075623158,1.9090879213559877,1.267593628994822,-0.9793432639288948,1.5522424498600746,0.3120896709277689,-1.7202397938196132,1.227079049477147,-0.6934731980597547,0.7250158951724368,1.5804789034487552,-0.7637194449136955,2.4720342781333478,1.5597384756090367,-0.5898688599482502,-1.5378803934752105,5.360588809727235
